recall,precision
9.959266802443992317e-01,1.732813607370659037e-01
9.959266802443992317e-01,1.733427862460120428e-01
9.959266802443992317e-01,1.734042553191489366e-01
9.959266802443992317e-01,1.734657680028378890e-01
9.959266802443992317e-01,1.735273243435060397e-01
9.959266802443992317e-01,1.735889243876464205e-01
9.959266802443992317e-01,1.736505681818181768e-01
9.959266802443992317e-01,1.737122557726465399e-01
9.959266802443992317e-01,1.737739872068230218e-01
9.959266802443992317e-01,1.738357625311055810e-01
9.959266802443992317e-01,1.738975817923186229e-01
9.959266802443992317e-01,1.739594450373532497e-01
9.959266802443992317e-01,1.740213523131672602e-01
9.959266802443992317e-01,1.740833036667853440e-01
9.959266802443992317e-01,1.741452991452991372e-01
9.959266802443992317e-01,1.742073387958674724e-01
9.959266802443992317e-01,1.742694226657163226e-01
9.959266802443992317e-01,1.743315508021390237e-01
9.959266802443992317e-01,1.743937232524964409e-01
9.959266802443992317e-01,1.744559400642169134e-01
9.959266802443992317e-01,1.745182012847965869e-01
9.959266802443992317e-01,1.745805069617993588e-01
9.959266802443992317e-01,1.746428571428571552e-01
9.959266802443992317e-01,1.747052518756698758e-01
9.959266802443992317e-01,1.747676912080057265e-01
9.959266802443992317e-01,1.748301751877011090e-01
9.959266802443992317e-01,1.748927038626609531e-01
9.959266802443992317e-01,1.749552772808586898e-01
9.959266802443992317e-01,1.750178954903364448e-01
9.959266802443992317e-01,1.750805585392051500e-01
9.959266802443992317e-01,1.751432664756447100e-01
9.959266802443992317e-01,1.752060193479039740e-01
9.959266802443992317e-01,1.752688172043010695e-01
9.959266802443992317e-01,1.753316600932233738e-01
9.959266802443992317e-01,1.753945480631276810e-01
9.959266802443992317e-01,1.754574811625403685e-01
9.959266802443992317e-01,1.755204594400574247e-01
9.959266802443992317e-01,1.755834829443446987e-01
9.959266802443992317e-01,1.756465517241379282e-01
9.959266802443992317e-01,1.757096658282429058e-01
9.959266802443992317e-01,1.757728253055355905e-01
9.959266802443992317e-01,1.758360302049622459e-01
9.959266802443992317e-01,1.758992805755395794e-01
9.959266802443992317e-01,1.759625764663547975e-01
9.938900203665987920e-01,1.756659467242620565e-01
9.938900203665987920e-01,1.757292041771696123e-01
9.938900203665987920e-01,1.757925072046109538e-01
9.938900203665987920e-01,1.758558558558558638e-01
9.938900203665987920e-01,1.759192501802451236e-01
9.938900203665987920e-01,1.759826902271907634e-01
9.938900203665987920e-01,1.760461760461760339e-01
9.938900203665987920e-01,1.761097076867556843e-01
9.938900203665987920e-01,1.761732851985559622e-01
9.938900203665987920e-01,1.762369086312748356e-01
9.938900203665987920e-01,1.763005780346820761e-01
9.938900203665987920e-01,1.763642934586194533e-01
9.938900203665987920e-01,1.764280549530007347e-01
9.938900203665987920e-01,1.764918625678119357e-01
9.938900203665987920e-01,1.765557163531114304e-01
9.938900203665987920e-01,1.766196163590300350e-01
9.938900203665987920e-01,1.766835626357711742e-01
9.938900203665987920e-01,1.767475552336110201e-01
9.938900203665987920e-01,1.768115942028985477e-01
9.938900203665987920e-01,1.768756795940558124e-01
9.938900203665987920e-01,1.769398114575779501e-01
9.938900203665987920e-01,1.770039898440333714e-01
9.938900203665987920e-01,1.770682148040638726e-01
9.938900203665987920e-01,1.771324863883847467e-01
9.938900203665987920e-01,1.771968046477850334e-01
9.938900203665987920e-01,1.772611696331274911e-01
9.938900203665987920e-01,1.773255813953488469e-01
9.938900203665987920e-01,1.773900399854598242e-01
9.938900203665987920e-01,1.774545454545454481e-01
9.938900203665987920e-01,1.775190978537650177e-01
9.938900203665987920e-01,1.775836972343522446e-01
9.938900203665987920e-01,1.776483436476155864e-01
9.938900203665987920e-01,1.777130371449380797e-01
9.938900203665987920e-01,1.777777777777777846e-01
9.938900203665987920e-01,1.778425655976676456e-01
9.938900203665987920e-01,1.779074006562158250e-01
9.938900203665987920e-01,1.779722830051057580e-01
9.938900203665987920e-01,1.780372126960963197e-01
9.938900203665987920e-01,1.781021897810219079e-01
9.938900203665987920e-01,1.781672143117926377e-01
9.938900203665987920e-01,1.782322863403944524e-01
9.938900203665987920e-01,1.782974059188892901e-01
9.938900203665987920e-01,1.783625730994151948e-01
9.938900203665987920e-01,1.784277879341864825e-01
9.938900203665987920e-01,1.784930504754937697e-01
9.938900203665987920e-01,1.785583607757043612e-01
9.938900203665987920e-01,1.786237188872620840e-01
9.938900203665987920e-01,1.786891248626876483e-01
9.938900203665987920e-01,1.787545787545787579e-01
9.938900203665987920e-01,1.788200806156101108e-01
9.938900203665987920e-01,1.788856304985337320e-01
9.938900203665987920e-01,1.789512284561789457e-01
9.938900203665987920e-01,1.790168745414526807e-01
9.938900203665987920e-01,1.790825688073394428e-01
9.938900203665987920e-01,1.791483113069016198e-01
9.938900203665987920e-01,1.792141020932794815e-01
9.938900203665987920e-01,1.792799412196914022e-01
9.938900203665987920e-01,1.793458287394340267e-01
9.938900203665987920e-01,1.794117647058823539e-01
9.938900203665987920e-01,1.794777491724898755e-01
9.938900203665987920e-01,1.795437821927888256e-01
9.938900203665987920e-01,1.796098638203901254e-01
9.938900203665987920e-01,1.796759941089837997e-01
9.938900203665987920e-01,1.797421731123388655e-01
9.938900203665987920e-01,1.798084008843036097e-01
9.938900203665987920e-01,1.798746774788057556e-01
9.938900203665987920e-01,1.799410029498525188e-01
9.938900203665987920e-01,1.800073773515308007e-01
9.938900203665987920e-01,1.800738007380073835e-01
9.938900203665987920e-01,1.801402731635289856e-01
9.938900203665987920e-01,1.802067946824224554e-01
9.938900203665987920e-01,1.802733653490949384e-01
9.938900203665987920e-01,1.803399852180339880e-01
9.938900203665987920e-01,1.804066543438077597e-01
9.938900203665987920e-01,1.804733727810650945e-01
9.938900203665987920e-01,1.805401405845357132e-01
9.938900203665987920e-01,1.806069578090303551e-01
9.938900203665987920e-01,1.806738245094409445e-01
9.938900203665987920e-01,1.807407407407407296e-01
9.938900203665987920e-01,1.808077065579844489e-01
9.938900203665987920e-01,1.808747220163083869e-01
9.938900203665987920e-01,1.809417871709306513e-01
9.938900203665987920e-01,1.810089020771513402e-01
9.938900203665987920e-01,1.810760667903525134e-01
9.938900203665987920e-01,1.811432813659985264e-01
9.938900203665987920e-01,1.812105458596360852e-01
9.938900203665987920e-01,1.812778603268944966e-01
9.938900203665987920e-01,1.813452248234856956e-01
9.938900203665987920e-01,1.814126394052044677e-01
9.938900203665987920e-01,1.814801041279285876e-01
9.938900203665987920e-01,1.815476190476190410e-01
9.938900203665987920e-01,1.816151842203200528e-01
9.938900203665987920e-01,1.816827997021593366e-01
9.938900203665987920e-01,1.817504655493482335e-01
9.938900203665987920e-01,1.818181818181818232e-01
9.938900203665987920e-01,1.818859485650391461e-01
